Time,Reward,Control,Power,Up_con,Down_con,Stad_con,Turbin,EO
220,1,0,0.067074262,0.084924051,0.115075949,0.065566667,540,0
221,1,0,0.067003757,0.087629099,0.112370901,0.065766667,544.5,0
222,1,0,0.06693732,0.090293467,0.109706533,0.065966667,549,0
223,1,0,0.066874146,0.092925202,0.107074798,0.066166667,553.5,0
224,1,0,0.06681443,0.095522366,0.104477634,0.066366667,558,0
225,1,0,0.066760145,0.098065215,0.101934785,0.066566667,562.5,0
226,1,0,0.066708744,0.100579231,0.099420769,0.066766667,567,0
227,1,0,0.066663295,0.103033716,0.096966284,0.066966667,571.5,0
228,1,0,0.066622704,0.105439624,0.094560376,0.067166667,576,0
229,1,0,0.06658709,0.107795762,0.092204238,0.067366667,580.5,0
230,1,0,0.066558085,0.110085813,0.089914187,0.067566667,585,0
231,1,0,0.066533126,0.112335407,0.087664593,0.067766667,589.5,0
232,1,0,0.066514984,0.114516829,0.085483171,0.067966667,594,0
233,1,0,0.066502526,0.116641403,0.083358597,0.068166667,598.5,0
234,1,0,0.066495433,0.118712332,0.081287668,0.068366667,603,0
235,1,0,0.066495083,0.120715834,0.079284166,0.068566667,607.5,0
236,1,0,0.066498108,0.122685585,0.077314415,0.068766667,612,0
237,1,0,0.06650684,0.124598264,0.075401736,0.068966667,616.5,0
238,1,0,0.066519767,0.126468996,0.073531004,0.069166667,621,0
239,1,0,0.066536456,0.128302103,0.071697897,0.069366667,625.5,0
240,1,0,0.066558398,0.130082684,0.069917316,0.069566667,630,0
241,1,0,0.066582896,0.131837709,0.068162291,0.069766667,634.5,0
242,1,0,0.066612959,0.133537078,0.066462922,0.069966667,639,0
243,1,0,0.066647425,0.135192414,0.064807586,0.070166667,643.5,0
244,1,0,0.06668625,0.136804164,0.063195836,0.070366667,648,0
245,1,0,0.06673114,0.138355266,0.061644734,0.070566667,652.5,0
246,1,1,0.066779256,0.139874108,0.060125892,0.070766667,657,0
247,1,1,0.066920072,0.140465948,0.059534052,0.070966667,661.5,0
248,1,1,0.067109004,0.14057663,0.05942337,0.071166667,666,0
249,1,1,0.067343593,0.14023074,0.05976926,0.071366667,670.5,0
250,1,1,0.067612499,0.139541677,0.060458323,0.071566667,675,0
251,1,0,0.067899249,0.138674172,0.061325828,0.071766667,679.5,0
252,1,0,0.068222761,0.137439055,0.062560945,0.071966667,684,0
253,1,0,0.068490542,0.136761242,0.063238758,0.072166667,688.5,0
254,1,0,0.068722978,0.136436884,0.063563116,0.072366667,693,0
255,1,0,0.068937205,0.136294619,0.063705381,0.072566667,697.5,0
256,1,0,0.069139987,0.136266794,0.063733206,0.072766667,702,0
257,1,0,0.069339707,0.136269592,0.063730408,0.072966667,706.5,0
258,1,0,0.069538072,0.136285949,0.063714051,0.073166667,711,0
259,1,0,0.069736257,0.136304095,0.063695905,0.073366667,715.5,0
260,1,0,0.069936521,0.136301453,0.063698547,0.073566667,720,0
261,1,0,0.070136271,0.136303952,0.063696048,0.073766667,724.5,0
262,1,0,0.070338532,0.136281343,0.063718657,0.073966667,729,0
263,1,0,0.070541985,0.136246813,0.063753187,0.074166667,733.5,0
264,1,0,0.070746586,0.136200809,0.063799191,0.074366667,738,0
265,1,0,0.070953935,0.136127313,0.063872687,0.074566667,742.5,0
266,1,0,0.071160838,0.136058287,0.063941713,0.074766667,747,0
267,1,0,0.071370207,0.135964599,0.064035401,0.074966667,751.5,0
268,1,0,0.071580686,0.13585981,0.06414019,0.075166667,756,0
269,1,0,0.071791977,0.1357469,0.0642531,0.075366667,760.5,0
270,1,0,0.072005548,0.135611191,0.064388809,0.075566667,765,0
271,1,0,0.072218299,0.135483678,0.064516322,0.075766667,769.5,0
272,1,0,0.07243295,0.135337165,0.064662835,0.075966667,774,0
273,1,0,0.072648033,0.135186332,0.064813668,0.076166667,778.5,0
274,1,0,0.072863452,0.135032145,0.064967855,0.076366667,783,0
275,1,0,0.073079892,0.134867752,0.065132248,0.076566667,787.5,0
276,1,1,0.073289081,0.134775852,0.065224148,0.076766667,792,0
277,1,1,0.07355386,0.134128065,0.065871935,0.076966667,796.5,0
278,1,1,0.073858351,0.133083162,0.066916838,0.077166667,801,0
279,1,1,0.074156947,0.132097192,0.067902808,0.077366667,805.5,0
280,1,1,0.074439056,0.131276104,0.068723896,0.077566667,810,0
